100 2460
76 93 22
76 95 26
76 100 86
77 79 86
77 81 38
77 82 3
77 83 70
77 84 18
77 85 7
77 89 35
77 90 14
77 91 13
77 93 46
77 94 76
77 95 4
77 100 47
78 80 10
78 82 40
78 83 12
78 86 78
78 88 99
78 90 91
78 91 14
78 93 82
78 94 1
78 97 75
79 82 3
79 84 35
79 85 41
79 86 37
79 87 48
79 92 29
79 94 20
79 95 74
80 84 25
80 86 22
80 88 27
80 89 83
80 90 75
80 91 9
80 92 47
80 95 50
80 97 49
80 98 41
80 99 26
80 100 23
81 84 39
81 85 72
81 87 15
81 91 99
81 96 7
81 97 78
82 86 57
82 87 43
82 89 8
82 91 5
82 92 5
82 96 98
82 98 17
82 99 13
83 88 66
83 95 87
83 96 33
83 97 31
83 99 69
84 86 34
84 91 42
84 92 42
84 95 5
84 96 33
84 97 78
85 89 70
85 90 23
85 92 23
85 96 42
85 99 41
86 90 10
86 93 83
86 94 30
86 95 10
86 97 23
86 98 40
86 100 21
87 88 67
87 90 57
87 91 38
87 94 43
87 98 74
87 99 69
88 90 11
88 91 5
88 93 57
88 94 8
88 96 36
88 98 73
88 100 65
89 91 29
89 93 78
89 94 75
89 95 18
89 96 8
89 98 96
90 92 41
90 93 72
90 94 49
90 96 34
90 97 74
90 99 80
91 93 88
91 96 21
91 97 76
92 93 80
92 94 65
92 97 80
93 94 93
93 95 69
93 96 20
93 97 2
93 99 17
93 100 88
94 95 39
94 97 61
94 99 81
95 97 64
95 99 24
96 99 21
96 100 27
97 98 81
97 99 15
1 34#eyxx-git
